"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"Kepler-1312 c";"Kepler-1312";0;0;2021;0.02103;1.027;5721;0.91;299.104
"Kepler-1313 b";"Kepler-1313";0;0;2016;0.04619;1.76;5453;0.85;174.234
"Kepler-1314 b";"Kepler-1314";0;0;2016;0.0504;5.11;4188;0.59;141.9868506
"Kepler-1315 b";"Kepler-1315";0;0;2016;0.01617;1.38;4861;0.75;480.869
"Kepler-1315 c";"Kepler-1315";0;0;2021;0.0635;1.844;4818;0.86;480.869
"Kepler-1316 b";"Kepler-1316";0;0;2016;0.39765;3.54;5884;1.12;800.871
"Kepler-1317 b";"Kepler-1317";0;0;2016;0.0128;1.56;5144;0.79;728.303
"Kepler-1318 b";"Kepler-1318";0;0;2016;0.6085;3.11;4598;0.7;475.248
"Kepler-1319 b";"Kepler-1319";0;0;2016;0.0296;1.34;3655;0.54;103.917
"Kepler-132 b";"Kepler-132";0;0;2014;0.067;1.21;6003;1.18;349.549
"Kepler-132 c";"Kepler-132";0;0;2014;0.068;1.28;6003;1.18;349.549
"Kepler-132 d";"Kepler-132";0;0;2014;0.136;1.55;6003;1.18;349.549
"Kepler-132 e";"Kepler-132";0;0;2016;0.43927;1.18;6023;1.1;349.549
"Kepler-1320 b";"Kepler-1320";0;0;2016;0.0163;1.7;4817;0.74;647.424
"Kepler-1321 b";"Kepler-1321";0;0;2016;0.0781;4.92;4094;0.53;769.146
"Kepler-1321 c";"Kepler-1321";0;0;2016;0.0267;2.4;4094;0.53;769.146
"Kepler-1321 d";"Kepler-1321";0;0;2021;0.0501;2.628;3640;0.5;769.146
"Kepler-1322 b";"Kepler-1322";0;0;2016;0.0183;1.61;5488;0.87;1350.32
"Kepler-1322 c";"Kepler-1322";0;0;2021;0.0652;2.155;5704;0.8;1350.32
"Kepler-1323 b";"Kepler-1323";0;0;2016;0.01911;1.52;6169;1.4;465.417
"Kepler-1324 b";"Kepler-1324";0;0;2016;0.0466;1.51;4776;0.73;481.667
"Kepler-1325 b";"Kepler-1325";0;0;2016;0.2004;2.86;5550;0.91;973.368
"Kepler-1326 b";"Kepler-1326";0;0;2016;0.2743;4.18;6725;1.74;698.326
"Kepler-1327 b";"Kepler-1327";0;0;2016;0.11151;1.8;5885;1.03;678.069
"Kepler-1328 b";"Kepler-1328";0;0;2016;0.052;0.98;5780;0.99;813.543
"Kepler-1329 b";"Kepler-1329";0;0;2016;0.0747;2.17;4500;0.69;588.037
"Kepler-133 b";"Kepler-133";0;0;2014;0.083;1.76;5736;1.43;653.6
"Kepler-133 c";"Kepler-133";0;0;2014;0.204;2.84;5736;1.43;653.6
"Kepler-1330 b";"Kepler-1330";0;0;2016;0.0889;1.65;5608;0.94;1720.48
"Kepler-1331 b";"Kepler-1331";0;0;2016;0.0142;1.05;4508;0.69;319.197
"Kepler-1332 b";"Kepler-1332";0;0;2016;0.09915;1.37;5581;0.9;528.685
"Kepler-1333 b";"Kepler-1333";0;0;2016;0.4382;2.81;5628;0.92;932.446
"Kepler-1334 b";"Kepler-1334";0;0;2016;0.1229;2.29;5614;0.91;1223.04
"Kepler-1335 b";"Kepler-1335";0;0;2016;0.0615;1.45;4903;0.74;621.853
"Kepler-1336 b";"Kepler-1336";0;0;2016;0.15845;1.98;5512;1.3;1126.64
"Kepler-1336 c";"Kepler-1336";0;0;2016;0.06272;1.71;5512;1.3;1126.64
"Kepler-1337 b";"Kepler-1337";0;0;2016;0.1441;2.41;4523;0.67;601.629
"Kepler-1338 b";"Kepler-1338";0;0;2016;0.01937;0.92;5909;1.05;753.26
"Kepler-1339 b";"Kepler-1339";0;0;2016;0.02356;0.71;5586;0.93;371.049
"Kepler-134 b";"Kepler-134";0;0;2014;0.06;2.0;5983;1.18;334.797
"Kepler-134 c";"Kepler-134";0;0;2014;0.092;1.26;5983;1.18;334.797
"Kepler-1340 b";"Kepler-1340";0;0;2016;0.01523;1.55;6331;1.42;981.779
"Kepler-1341 b";"Kepler-1341";0;0;2016;0.47267;2.99;4662;0.72;476.957
"Kepler-1342 b";"Kepler-1342";0;0;2016;0.0313;1.66;5527;0.9;890.724
"Kepler-1343 b";"Kepler-1343";0;0;2016;0.0449;1.93;5759;0.93;1756.71
"Kepler-1344 b";"Kepler-1344";0;0;2016;0.05501;1.84;5981;1.13;853.959
"Kepler-1345 b";"Kepler-1345";0;0;2016;0.26412;2.36;6449;1.55;1355.02
"Kepler-1346 b";"Kepler-1346";0;0;2016;0.044;1.58;6133;1.21;843.701
"Kepler-1347 b";"Kepler-1347";0;0;2016;0.104;1.03;5193;0.79;321.0
"Kepler-1348 b";"Kepler-1348";0;0;2016;0.1834;1.94;5911;1.04;1213.82
"Kepler-1349 b";"Kepler-1349";0;0;2016;0.03421;0.7;6086;1.28;276.323
"Kepler-135 b";"Kepler-135";0;0;2014;0.067;1.81;6090;1.28;621.855
"Kepler-135 c";"Kepler-135";0;0;2014;0.103;1.16;6090;1.28;621.855
